         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
      164.03      0.9898      0.7347      0.1605      0.2170       4.585      11.559       7.678    3419.152       1.306      34.154       1.039          0.73    178788.      0.2408
      175.75      1.0605      0.7558      0.1594      0.2246       4.745      11.963       7.620    3538.397       1.352      33.897       0.998          0.73    180772.      0.2303
      187.46      1.1312      0.7742      0.1566      0.2300       4.860      12.252       7.488    3624.091       1.384      33.307       0.960          0.74    182872.      0.2192
      199.18      1.2019      0.7912      0.1518      0.2321       4.905      12.367       7.262    3657.877       1.397      32.303       0.923          0.74    185086.      0.2076
      210.89      1.2726      0.8072      0.1451      0.2302       4.865      12.266       6.937    3628.001       1.385      30.854       0.889          0.75    187412.      0.1955
      222.61      1.3433      0.8226      0.1363      0.2243       4.739      11.947       6.520    3533.494       1.349      28.999       0.859          0.76    189841.      0.1829
      234.32      1.4140      0.8370      0.1260      0.2145       4.533      11.430       6.027    3380.609       1.292      26.810       0.829          0.76    192366.      0.1700
      246.05      1.4847      0.8500      0.1145      0.2016       4.261      10.742       5.476    3177.273       1.214      24.361       0.803          0.77    194981.      0.1567
      257.76      1.5554      0.8607      0.1021      0.1860       3.929       9.906       4.880    2930.225       1.119      21.708       0.776          0.78    197678.      0.1429
      269.48      1.6260      0.8681      0.0888      0.1678       3.546       8.941       4.248    2644.613       1.010      18.895       0.748          0.79    200452.      0.1286
      281.19      1.6968      0.8704      0.0751      0.1476       3.118       7.860       3.587    2324.905       0.888      15.955       0.719          0.79    203300.      0.1135
      292.90      1.7675      0.8637      0.0607      0.1253       2.649       6.679       2.903    1975.720       0.754      12.912       0.685          0.79    206216.      0.0972
      304.62      1.8382      0.8392      0.0460      0.1017       2.150       5.419       2.199    1602.920       0.613       9.782       0.639          0.80    209198.      0.0790
      316.35      1.9089      0.7743      0.0309      0.0771       1.629       4.106       1.480    1214.657       0.464       6.580       0.568          0.81    212244.      0.0576
      328.06      1.9796      0.6000      0.0155      0.0522       1.102       2.779       0.746     821.830       0.314       3.316       0.425          0.82    215348.      0.0305
      339.77      2.0503      0.0018      0.0001      0.0278       0.587       1.480       0.002     437.854       0.167       0.006       0.001          0.83    218510.      0.0000



         PROP RPM =      26000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1510      0.1537       3.654       8.858       7.806    2725.027       1.001      34.722       1.333          0.72    170114.      0.3122
       12.18      0.0707      0.0694      0.1505      0.1533       3.646       8.838       7.784    2718.662       0.998      34.623       1.329          0.72    170486.      0.3110
       24.35      0.1413      0.1385      0.1503      0.1535       3.649       8.846       7.774    2721.116       0.999      34.579       1.324          0.72    170950.      0.3097
       36.53      0.2119      0.2066      0.1503      0.1542       3.667       8.890       7.779    2734.820       1.004      34.599       1.317          0.72    171517.      0.3079
       48.70      0.2826      0.2732      0.1508      0.1558       3.704       8.979       7.799    2761.948       1.014      34.686       1.304          0.72    172198.      0.3055
       60.88      0.3533      0.3377      0.1515      0.1582       3.760       9.117       7.832    2804.288       1.030      34.839       1.289          0.73    172997.      0.3025
       73.06      0.4239      0.3992      0.1523      0.1615       3.840       9.308       7.880    2863.157       1.051      35.051       1.269          0.73    173921.      0.2987
       85.24      0.4945      0.4572      0.1535      0.1658       3.941       9.556       7.940    2939.377       1.079      35.316       1.245          0.73    174972.      0.2941
       97.41      0.5652      0.5108      0.1548      0.1711       4.068       9.861       8.008    3033.247       1.114      35.620       1.217          0.73    176152.      0.2885
      109.59      0.6359      0.5595      0.1562      0.1774       4.217      10.223       8.082    3144.494       1.155      35.948       1.185          0.73    177462.      0.2821
      121.76      0.7065      0.6033      0.1577      0.1846       4.388      10.637       8.156    3272.153       1.202      36.281       1.149          0.74    178900.      0.2749
      133.94      0.7772      0.6419      0.1591      0.1926       4.579      11.099       8.227    3414.293       1.254      36.593       1.111          0.74    180466.      0.2670
      146.12      0.8478      0.6755      0.1602      0.2012       4.784      11.598       8.285    3567.551       1.310      36.855       1.073          0.75    182158.      0.2584
      158.29      0.9184      0.7044      0.1609      0.2102       4.997      12.114       8.322    3726.349       1.369      37.019       1.032          0.75    183974.      0.2492
      170.47      0.9891      0.7292      0.1609      0.2190       5.206      12.619       8.324    3881.680       1.426      37.025       0.993          0.76    185913.      0.2395
      182.64      1.0597      0.7505      0.1599      0.2268       5.390      13.067       8.270    4019.713       1.477      36.785       0.954          0.76    187973.      0.2293
      194.82      1.1303      0.7692      0.1573      0.2325       5.527      13.398       8.139    4121.230       1.514      36.200       0.917          0.77    190154.      0.2186
      207.00      1.2010      0.7865      0.1528      0.2349       5.585      13.540       7.907    4165.014       1.530      35.169       0.883          0.78    192452.      0.2072
      219.17      1.2717      0.8030      0.1463      0.2334       5.547      13.447       7.567    4136.431       1.520      33.657       0.851          0.78    194867.      0.1955
      231.35      1.3423      0.8190      0.1377      0.2275       5.409      13.111       7.126    4033.111       1.481      31.694       0.823          0.79    197390.      0.1833
      243.53      1.4129      0.8341      0.1275      0.2178       5.179      12.555       6.599    3861.863       1.418      29.355       0.796          0.79    200015.      0.1707
      255.70      1.4836      0.8478      0.1162      0.2049       4.870      11.808       6.007    3632.069       1.334      26.718       0.770          0.80    202732.      0.1575
      267.88      1.5543      0.8595      0.1036      0.1890       4.495      10.896       5.361    3351.819       1.231      23.849       0.746          0.80    205534.      0.1440
      280.06      1.6249      0.8677      0.0904      0.1708       4.060       9.842       4.675    3027.486       1.111      20.794       0.720          0.81    208418.      0.1298
      292.23      1.6956      0.8703      0.0765      0.1504       3.574       8.665       3.955    2665.280       0.978      17.590       0.692          0.82    211378.      0.1147
      304.40      1.7662      0.8625      0.0620      0.1282       3.047       7.386       3.206    2272.030       0.835      14.258       0.658          0.83    214408.      0.0981
      316.58      1.8369      0.8341      0.0470      0.1046       2.489       6.033       2.433    1855.599       0.681      10.819       0.613          0.84    217508.      0.0795
      328.75      1.9076      0.7598      0.0316      0.0805       1.915       4.641       1.637    1427.664       0.524       7.284       0.537          0.84    220672.      0.0572
      340.94      1.9781      0.5683      0.0159      0.0566       1.345       3.261       0.825    1003.327       0.369       3.668       0.389          0.85    223898.      0.0294
      353.11      2.0488      0.0006      0.0000      0.0338       0.805       1.951       0.001     600.229       0.220       0.003       0.001          0.86    227184.      0.0000


