         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       32.00      1.6092      0.7850      0.0772      0.1590       0.006       0.122       0.053       4.329       0.013       0.236       5.695          0.10     23980.      0.1098
       33.39      1.6791      0.7687      0.0648      0.1421       0.005       0.109       0.045       3.869       0.012       0.199       5.342          0.10     24314.      0.0944
       34.78      1.7490      0.7371      0.0520      0.1239       0.005       0.095       0.036       3.374       0.011       0.160       4.916          0.10     24657.      0.0779
       36.17      1.8190      0.6816      0.0392      0.1047       0.004       0.081       0.027       2.851       0.009       0.119       4.367          0.10     25008.      0.0599
       37.56      1.8890      0.5844      0.0261      0.0846       0.004       0.065       0.018       2.303       0.007       0.080       3.599          0.10     25368.      0.0403
       38.96      1.9590      0.4038      0.0132      0.0637       0.003       0.049       0.009       1.736       0.005       0.040       2.391          0.10     25734.      0.0190
       40.34      2.0289      0.0138      0.0003      0.0423       0.002       0.033       0.000       1.153       0.004       0.001       0.078          0.10     26107.      0.0001



         PROP RPM =       4000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1494      0.1528       0.013       0.208       0.183       9.867       0.024       0.814       8.591          0.11     26176.      0.3081
        1.86      0.0702      0.0684      0.1489      0.1528       0.013       0.208       0.182       9.861       0.024       0.811       8.556          0.11     26232.      0.3064
        3.72      0.1404      0.1362      0.1487      0.1532       0.013       0.208       0.182       9.885       0.024       0.809       8.505          0.11     26304.      0.3043
        5.59      0.2107      0.2028      0.1486      0.1542       0.013       0.210       0.182       9.950       0.024       0.809       8.436          0.11     26390.      0.3017
        7.45      0.2809      0.2676      0.1488      0.1558       0.013       0.212       0.182      10.062       0.024       0.810       8.345          0.11     26494.      0.2986
